2,0.801,
3,0.798,
4,0.8,
5,0.804,
6,0.807,
7,0.806,
8,0.8,
9,0.799,
10,0.809,
11,0.799,
12,0.787,
13,0.756,
14,0.748,
15,0.728,
16,0.728,
17,0.598,
18,0.524,
19,0.524,
20,0.524,
21,0.43,
22,0.43,
23,0.43,
24,0.242,
25,0.242,
26,0.242,
27,0.242,
28,0.242,
29,0.242,
30,0.242,
31,0.242,
32,0.242,
33,0.242,
34,0.242,
35,0.242,
36,0.242,
37,0.242,
38,0.242,
39,0.242,
40,0.242,
41,0.242,
42,0.242,
43,0.242,
44,0.242,
45,0.242,
46,0.242,
47,0.242,
48,0.242,
49,0.242,
50,0.242,
51,0.242,
52,0.242,
53,0.242,
54,0.242,
55,0.242,
56,0.242,
57,0.242,
58,0.242,
59,0.242,
60,0.242,
61,0.242,
62,0.242,
63,0.242,
64,0.242,
65,0.242,
66,0.242,
67,0.242,
68,0.242,
69,0.242,
70,0.242,
71,0.242,
72,0.242,
73,0.242,
74,0.242,
75,0.242,
76,0.242,
77,0.242,
78,0.242,
79,0.242,
80,0.242,
81,0.242,
82,0.242,
83,0.242,
84,0.242,
85,0.242,
86,0.242,
87,0.242,
88,0.242,
89,0.242,
90,0.242,
91,0.242,
92,0.242,
93,0.242,
94,0.242,
95,0.242,
96,0.242,
97,0.242,
98,0.242,
99,0.242,
100,0.242,
