Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Nodes Count, Nodes Ratio, Training Time, Pruning Time

64,5,1,1.0,LogisticRegression(max_iter=10000),0.919,0.901,0.0,0.908,0.0,0.901,0,0,476,1.0,476,1.0,0:00:55.100961,0:00:00,

64,5,1,0.95,LogisticRegression(max_iter=10000),0.913,0.897,-0.004,0.903,-0.005,0.897,0,0,416,0.874,416,0.874,0:00:50.650627,0:00:00,

64,5,1,0.9,LogisticRegression(max_iter=10000),0.91,0.896,-0.005,0.902,-0.006,0.896,0,0,344,0.723,344,0.723,0:00:35.729830,0:00:00,

64,5,1,0.85,LogisticRegression(max_iter=10000),0.897,0.88,-0.021,0.878,-0.03,0.88,0,0,294,0.618,294,0.618,0:00:30.572457,0:00:00,

64,5,1,0.8,LogisticRegression(max_iter=10000),0.895,0.879,-0.022,0.877,-0.031,0.879,0,0,229,0.481,229,0.481,0:00:22.877209,0:00:00,

64,5,1,0.75,LogisticRegression(max_iter=10000),0.892,0.88,-0.021,0.878,-0.03,0.88,0,0,181,0.38,181,0.38,0:00:15.619777,0:00:00,

64,5,1,0.7,LogisticRegression(max_iter=10000),0.891,0.88,-0.021,0.878,-0.03,0.88,0,0,147,0.309,147,0.309,0:00:13.370241,0:00:00,

64,5,1,0.65,LogisticRegression(max_iter=10000),0.861,0.853,-0.048,0.821,-0.087,0.853,0,0,111,0.233,111,0.233,0:00:10.194977,0:00:00,

64,5,1,0.6,LogisticRegression(max_iter=10000),0.822,0.819,-0.082,0.681,-0.227,0.819,0,0,81,0.17,81,0.17,0:00:08.627744,0:00:00,

64,10,1,1.0,LogisticRegression(max_iter=10000),0.973,0.904,0.0,0.916,0.0,0.904,0,0,2288,1.0,2288,1.0,0:06:56.454111,0:00:00,

64,10,1,0.95,LogisticRegression(max_iter=10000),0.971,0.903,-0.001,0.915,-0.0,0.903,0,0,2082,0.91,2082,0.91,0:06:52.558717,0:00:00,

64,10,1,0.9,LogisticRegression(max_iter=10000),0.968,0.905,0.001,0.917,0.002,0.905,0,0,1879,0.821,1879,0.821,0:05:18.694197,0:00:00,

64,10,1,0.85,LogisticRegression(max_iter=10000),0.965,0.904,0.0,0.917,0.001,0.904,0,0,1664,0.727,1664,0.727,0:04:51.114040,0:00:00,

64,10,1,0.8,LogisticRegression(max_iter=10000),0.961,0.906,0.002,0.917,0.002,0.906,0,0,1510,0.66,1510,0.66,0:04:51.231913,0:00:00,

64,10,1,0.75,LogisticRegression(max_iter=10000),0.958,0.909,0.005,0.92,0.005,0.909,0,0,1336,0.584,1336,0.584,0:04:02.250173,0:00:00,

64,10,1,0.7,LogisticRegression(max_iter=10000),0.952,0.905,0.001,0.918,0.002,0.905,0,0,1117,0.488,1117,0.488,0:03:07.956988,0:00:00,

64,10,1,0.65,LogisticRegression(max_iter=10000),0.946,0.906,0.002,0.917,0.001,0.906,0,0,856,0.374,856,0.374,0:02:21.205424,0:00:00,

64,10,1,0.6,LogisticRegression(max_iter=10000),0.94,0.908,0.004,0.919,0.004,0.908,0,0,732,0.32,732,0.32,0:01:29.063957,0:00:00,

64,15,1,1.0,LogisticRegression(max_iter=10000),0.989,0.903,0.0,0.915,0.0,0.903,0,0,4108,1.0,4108,1.0,0:15:55.076873,0:00:00,

64,15,1,0.95,LogisticRegression(max_iter=10000),0.988,0.901,-0.001,0.913,-0.002,0.901,0,0,3768,0.917,3768,0.917,0:13:52.350766,0:00:00,

64,15,1,0.9,LogisticRegression(max_iter=10000),0.986,0.901,-0.001,0.913,-0.002,0.901,0,0,3451,0.84,3451,0.84,0:12:08.810676,0:00:00,

64,15,1,0.85,LogisticRegression(max_iter=10000),0.984,0.901,-0.001,0.912,-0.002,0.901,0,0,3125,0.761,3125,0.761,0:10:12.800310,0:00:00,

64,15,1,0.8,LogisticRegression(max_iter=10000),0.981,0.9,-0.003,0.912,-0.002,0.9,0,0,2852,0.694,2852,0.694,0:52:58.630106,0:00:00,

64,15,1,0.75,LogisticRegression(max_iter=10000),0.977,0.9,-0.003,0.912,-0.002,0.9,0,0,2557,0.622,2557,0.622,0:06:36.759491,0:00:00,

64,15,1,0.7,LogisticRegression(max_iter=10000),0.973,0.9,-0.003,0.911,-0.003,0.9,0,0,2163,0.527,2163,0.527,0:05:21.765748,0:00:00,

