Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Nodes Count, Nodes Ratio, Training Time, Pruning Time

64,5,1,1.0,LogisticRegression(max_iter=10000),0.83,0.807,0.0,0.66,0.0,0.807,0,0,1087,1.0,1087,1.0,0:01:13.826637,0:00:00,

64,5,1,0.95,LogisticRegression(max_iter=10000),0.827,0.809,0.002,0.659,-0.001,0.809,0,0,635,0.584,635,0.584,0:00:31.377885,0:00:00,

64,5,1,0.9,LogisticRegression(max_iter=10000),0.824,0.812,0.005,0.662,0.002,0.812,0,0,290,0.267,290,0.267,0:00:10.138041,0:00:00,

64,5,1,0.85,LogisticRegression(max_iter=10000),0.821,0.808,0.001,0.65,-0.01,0.808,0,0,54,0.05,54,0.05,0:00:00.997924,0:00:00,

64,5,1,0.8,LogisticRegression(max_iter=10000),0.819,0.809,0.002,0.642,-0.018,0.809,0,0,14,0.013,14,0.013,0:00:00.069128,0:00:00,

64,5,1,0.75,LogisticRegression(max_iter=10000),0.779,0.779,-0.028,0.438,-0.222,0.779,0,0,5,0.005,5,0.005,0:00:00.050852,0:00:00,

64,5,1,0.7,LogisticRegression(max_iter=10000),0.779,0.779,-0.028,0.438,-0.222,0.779,0,0,5,0.005,5,0.005,0:00:00.047766,0:00:00,

64,5,1,0.65,LogisticRegression(max_iter=10000),0.779,0.779,-0.028,0.438,-0.222,0.779,0,0,5,0.005,5,0.005,0:00:00.050437,0:00:00,

Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Nodes Count, Nodes Ratio, Training Time, Pruning Time

Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Nodes Count, Nodes Ratio, Training Time, Pruning Time

64,5,1,0.95,LogisticRegression(max_iter=10000),0.828,0.808,-0.192,0.658,-0.342,0.808,0,-1.0,656,656.0,656,656.0,0:00:38.442293,0:00:00,

64,5,1,0.9,LogisticRegression(max_iter=10000),0.822,0.807,-0.193,0.649,-0.351,0.807,0,-1.0,225,225.0,225,225.0,0:00:06.643910,0:00:00,

64,5,1,0.85,LogisticRegression(max_iter=10000),0.819,0.809,-0.191,0.644,-0.356,0.809,0,-1.0,50,50.0,50,50.0,0:00:01.152550,0:00:00,

64,5,1,0.8,LogisticRegression(max_iter=10000),0.819,0.809,-0.191,0.643,-0.357,0.809,0,-1.0,22,22.0,22,22.0,0:00:00.133621,0:00:00,

64,5,1,0.75,LogisticRegression(max_iter=10000),0.82,0.811,-0.189,0.646,-0.354,0.811,0,-1.0,16,16.0,16,16.0,0:00:00.091923,0:00:00,

64,5,1,0.7,LogisticRegression(max_iter=10000),0.779,0.779,-0.221,0.438,-0.562,0.779,0,-1.0,9,9.0,9,9.0,0:00:00.077485,0:00:00,

64,5,1,0.65,LogisticRegression(max_iter=10000),0.779,0.779,-0.221,0.438,-0.562,0.779,0,-1.0,9,9.0,9,9.0,0:00:00.078166,0:00:00,

64,10,1,0.95,LogisticRegression(max_iter=10000),0.865,0.78,-0.221,0.637,-0.363,0.78,0,-1.0,5717,5717.0,5717,5717.0,0:17:58.667956,0:00:00,

64,10,1,0.9,LogisticRegression(max_iter=10000),0.831,0.806,-0.194,0.654,-0.346,0.806,0,-1.0,1239,1239.0,1239,1239.0,0:01:44.529375,0:00:00,

